,Geohash,building_count,total_road_length,lat,lon,elevation,slope,NDVI,Cell_ID,Site_latitude,Site_longitude,EARFCN_DL,population_density,RSRP,RSRQ,antenna_height,azimuth,tilt
0,tc1sfpu,0.0,0,6.503219604492188,80.95344543457031,109.59412,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,14.831130027770996,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
1,tc1sfpv,0.0,0,6.503219604492188,80.95481872558594,109.86161,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,14.831130027770996,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
2,tc1sfpw,0.0,0,6.5018463134765625,80.95619201660156,107.8108,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,14.831130027770996,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
3,tc1sfpx,0.0,0,6.5018463134765625,80.95756530761719,105.07265,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.033854484558104,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
4,tc1sfpy,0.0,0,6.503219604492188,80.95619201660156,106.049614,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,14.831130027770996,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
5,tc1sfpz,0.0,0,6.503219604492188,80.95756530761719,104.32106,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.033854484558104,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
6,tc1sfqg,0.0,0,6.497726440429688,80.96305847167969,111.937515,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,9.023484230041506,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
7,tc1sfqr,0.0,0,6.4949798583984375,80.96855163574219,120.2376,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
8,tc1sfqt,0.0,0,6.496353149414063,80.96580505371094,119.307304,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
9,tc1sfqu,0.0,0,6.497726440429688,80.96443176269531,114.0445,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,9.023484230041506,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
10,tc1sfqv,0.0,0,6.497726440429688,80.96580505371094,117.6377,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
11,tc1sfqw,0.0,0,6.496353149414063,80.96717834472656,126.851875,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
12,tc1sfqx,0.0,0,6.496353149414063,80.96855163574219,127.603745,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
