,EARFCN_DL,antenna_height,azimuth,tilt,Site_latitude,Site_longitude,building_count,total_road_length,elevation,NDVI,population_density,Geohash,RSRP,RSRQ,Cell_ID
0,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,109.59412,1.0,14.831131,tc1sfpu,-18.26074,-4.129117,Cell_144
1,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,109.86161,1.0,14.831131,tc1sfpv,-18.221457,-4.0545135,Cell_144
2,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,107.8108,1.0,14.831131,tc1sfpw,-18.108624,-3.8919468,Cell_144
3,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,105.07265,1.0,11.033852,tc1sfpx,-17.737177,-3.6707559,Cell_144
4,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,106.049614,1.0,14.831131,tc1sfpy,-17.156738,-3.5886536,Cell_144
5,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,104.32106,1.0,11.033852,tc1sfpz,-16.737574,-3.5680904,Cell_144
6,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,111.937515,1.0,9.023487,tc1sfqg,-16.512478,-3.5495424,Cell_144
7,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,120.2376,1.0,8.4146,tc1sfqr,-16.336111,-3.5373707,Cell_144
8,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,119.307304,1.0,8.4146,tc1sfqt,-16.204786,-3.526824,Cell_144
9,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,114.0445,1.0,9.023487,tc1sfqu,-16.112251,-3.5186603,Cell_144
