Cell_ID,Cell Name,RSRP,RSRQ,Geohash,EARFCN_DL,Latitude_of_MDT,Longitude_of_MDT,MR_Count,Site ID,Site Name (from MAIN DATA),Cell ID,Antenna Height,Azimuth,E Tilt,M Tilt,Tilt,Latitude_of_Site,Longitude_of_Site,MDT height from MSL,Site height from MSL,Height Difference,Horizontal Distance,Angle_from_North,Azimuth_to_nearest_5_degrees,Reduced_Amount,Normalized_Azimuth,Latitude_Difference,Longitude_Difference,name,name:en,highway,surface,smoothness,width,lanes,oneway,bridge,layer,source,name:si,name:ta,osm_id,osm_type,Road_Coverage,Population_Density,geohash,total_population,population_density
5215253,Mannar_SLT-MA0001-H_2B,-100.0,-13.0,tc8g466m,1650,8.978096,79.906923,2,MA0001,Mannar_SLT,L18_22,55.0,165.0,3,0.0,3.0,8.978368,79.91112,5,9,4,0.461958296,266.246412,165,90,75,-0.000272,-0.004197,,,residential,,,,,,,,,,,156298074.0,ways_line,1,3291.916504,tc8g466m,0,0.0
5215253,Mannar_SLT-MA0001-H_2B,-100.0,-13.0,tc8g466m,1650,8.978096,79.906923,2,MA0001,Mannar_SLT,L18_22,55.0,165.0,3,0.0,3.0,8.978368,79.91112,5,9,4,0.461958296,266.246412,165,90,75,-0.000272,-0.004197,,,residential,,,,,,,,,,,197793816.0,ways_line,1,3291.916504,tc8g466m,0,0.0
5215253,Mannar_SLT-MA0001-H_2B,-100.0,-13.0,tc8g466m,1650,8.978096,79.906923,2,MA0001,Mannar_SLT,L18_22,55.0,165.0,3,0.0,3.0,8.978368,79.91112,5,9,4,0.461958296,266.246412,165,90,75,-0.000272,-0.004197,,,residential,,,,,,,,,,,197793916.0,ways_line,1,3291.916504,tc8g466m,0,0.0
5215253,Mannar_SLT-MA0001-H_2B,-100.0,-13.0,tc8g466m,1650,8.978096,79.906923,2,MA0001,Mannar_SLT,L18_22,55.0,165.0,3,0.0,3.0,8.978368,79.91112,5,9,4,0.461958296,266.246412,165,90,75,-0.000272,-0.004197,,,residential,,,,,,,,,,,197793699.0,ways_line,1,3291.916504,tc8g466m,0,0.0
5215253,Mannar_SLT-MA0001-H_2B,-100.0,-13.0,tc8g466m,1650,8.978096,79.906923,2,MA0001,Mannar_SLT,L18_22,55.0,165.0,3,0.0,3.0,8.978368,79.91112,5,9,4,0.461958296,266.246412,165,90,75,-0.000272,-0.004197,,,residential,,,,,,,,,,,156298067.0,ways_line,1,3291.916504,tc8g466m,0,0.0
5416981,Samanthurai_West-AM0044-H_2B,-108.0,-8.0,tc61v4qs,1650,7.351944,81.791156,1,AM0044,Samanthurai_West,L18_22,24.0,150.0,2,0.0,2.0,7.356114,81.789853,23,17,6,0.485438032,162.7817234,150,90,60,-0.00417,0.001303,,,residential,,,,,,,,,,,304522099.0,ways_line,1,7534.662598,tc61v4qs,70,0.18508306
5333782,Silva_Town_Madampe-PU0097-H_2C,-112.0,-12.0,tc2f8sfy,1650,7.497994,79.830778,4,PU0097,Silva_Town_Madampe,L18_33,60.0,260.0,4,1.0,5.0,7.498888,79.843611,17,17,0,1.418249844,265.981554,260,180,80,-0.000894,-0.012833,St.Mary's Church Road,,residential,asphalt,,,,,,,,,,361071982.0,ways_line,1,1743.314087,tc2f8sfy,0,0.0
5333782,Silva_Town_Madampe-PU0097-H_2C,-79.5,-9.25,tc2f8t2r,1650,7.500872,79.827333,3,PU0097,Silva_Town_Madampe,L18_33,60.0,260.0,4,1.0,5.0,7.498888,79.843611,9,17,8,1.808055872,277.009496,260,180,80,0.001984,-0.016278,Colombo-Chilaw Road,,trunk,,,,2.0,,,,,,,280124170.0,ways_line,1,488.1522217,tc2f8t2r,0,0.0
6120704,Chilaw_Town_East-PU0217-H_A,-102.0,-18.0,tc2epuej,1650,7.584329,79.797963,1,PU0217,Chilaw_Town_East,L18_1,50.0,0.0,3,0.0,3.0,7.577813,79.801732,11,8,3,0.835194334,330.1717355,0,0,0,0.006516,-0.003769,Watawana Road,,unclassified,asphalt,,,,,,,,,,360985646.0,ways_line,1,3430.921387,tc2epuej,0,0.0
6120704,Chilaw_Town_East-PU0217-H_A,-102.0,-18.0,tc2epuej,1650,7.584329,79.797963,1,PU0217,Chilaw_Town_East,L18_1,50.0,0.0,3,0.0,3.0,7.577813,79.801732,11,8,3,0.835194334,330.1717355,0,0,0,0.006516,-0.003769,Millicent Lane,,unclassified,,,,,,,,,,,360985645.0,ways_line,1,3430.921387,tc2epuej,0,0.0
6129922,Thambapanni_SLN-PU0205-H_C,-100.63,-8.5,tc2v9dmx,1650,8.011686,79.878459,12,PU0205,Thambapanni_SLN,L18_3,50.0,310.0,0,0.0,0.0,8.007611,79.880278,34,40,6,0.495412327,336.1534635,310,270,40,0.004075,-0.001819,Katugastota-Kurunegala-Puttalam Road,,trunk,,,,,no,,,,,,47322396.0,ways_line,1,173.8623657,tc2v9dmx,0,0.0
6129922,Thambapanni_SLN-PU0205-H_C,-100.63,-8.5,tc2v9dmx,1650,8.011686,79.878459,12,PU0205,Thambapanni_SLN,L18_3,50.0,310.0,0,0.0,0.0,8.007611,79.880278,34,40,6,0.495412327,336.1534635,310,270,40,0.004075,-0.001819,Jaya Mawathe,,track,paved,,40m,,,yes,1.0,,,,1216740406.0,ways_line,1,173.8623657,tc2v9dmx,0,0.0
5323050,Pothuhera-KU0025-B_C,-105.0,-11.65,tc345w52,3750,7.415796,80.314844,43,KU0025,Pothuhera,L9_3,70.0,300.0,3,0.0,3.0,7.410756,80.326867,125,129,4,1.439309484,292.9160152,300,270,30,0.00504,-0.012023,,,,,,,,,,,,,,,,0,490.2920532,tc345w52,0,0.0
6337280,Pahan_Gala-KU0441-H_A,-111.0,-11.0,tc36bhwp,1650,7.540622,80.516085,1,KU0441,Pahan_Gala,L18_1,45.0,70.0,3,4.0,7.0,7.53012,80.49132,157,312,155,2.969237844,66.83905927,70,0,70,0.010502,0.024765,,,,,,,,,,,,,,,,0,377.0778198,tc36bhwp,0,0.0
5474052,Hattota_Amuna-MT0084-B_A,-110.31,-10.92,tc37r31q,3750,7.60915,80.828281,95,MT0084,Hattota_Amuna,L9_1,37.0,75.0,3,0.0,3.0,7.6077,80.820633,151,216,65,0.858213233,79.17097946,75,0,75,0.00145,0.007648,,,residential,,,,,,,,,,,516346533.0,ways_line,1,260.9494629,tc37r31q,0,0.0
5895209,Bakamuna-PO0011-B_B,-56.0,-6.5,tc3kp2zz,3750,7.739731,80.837346,1,PO0011,Bakamuna,L9_2,50.0,125.0,2,0.0,2.0,7.772113,80.81818,105,155,50,4.174239486,149.6088927,125,90,35,-0.032382,0.019166,Dambulla-Bakamuna-Kalagahawela Road,,secondary,,,,,,,,,,,520867805.0,ways_line,1,300.1559143,tc3kp2zz,0,0.0
6377984,Manic_Farm_South-VA0017-H_A,-99.0,-12.81,tc91d89u,1650,8.704703,80.268795,305,VA0017,Manic_Farm_South,L18_1,40.0,310.0,2,0.0,2.0,8.69824,80.262571,55,53,2,0.992204763,43.58897409,310,270,40,0.006463,0.006224,,,residential,,,,,,,,,,,198376259.0,ways_line,1,500.7585449,tc91d89u,0,0.0
5227816,Dahayyagama_Jn-AN0015-B_A,0.0,0.0,tc3pmnwx,3750,8.342636,80.385188,0,AN0015,Dahayyagama_Jn,L9_1,20.0,0.0,2,2.0,4.0,8.317338,80.397606,101,94,7,3.127245291,334.0955066,0,0,0,0.025298,-0.012418,,,residential,compacted,intermediate,,,,,,,,,552034524.0,ways_line,1,419.1862488,tc3pmnwx,0,0.0
